index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det;lat_corrigida;long_corrigida;endereco_google
456;2109;2258919;-282.910.748.191.667;-5.463.788.670.420.870;PSF 1 CAIBATE;AV SANTA LUCIA;1492;CENTRO;;97930000.0;RS;Caibaté;2016;5;-282.926.722;-5.463.742.269.999.990;R. Santa Lúcia, Caibaté - RS, 97930-000, Brazil
457;2350;2687933;-2.713.205;-4.894.222;UNIDADE DE SAUDE CEDRINHO;RUA HILDA DE MELLO KNIHS;S/N;CEDRINHO;(47)3350-5192;88358032.0;SC;Brusque;2016;5;-271.486.341;-4.892.445.009.999.990;R. Alvim Augusto Klann, Brusque - SC, 88358-000, Brazil
473;2309;2730413;-227.507.972.717.279;-513.811.254.501.328;UNIDADE BASICA DE SAUDE VILA IGUACU;RUA IGUACU;S/N;VILA IGUACU;(43)6231090;86160000.0;PR;Porecatu;2016;5;-227.508.306;-513.809.008;Rua Iguaçu, 1299, Porecatu - PR, 86160-000, Brazil
476;2217;2231026;-298.486.155.356.247;-512.752.106.890.133;PMM CEL OLYMPIO NOVA STA RITA;AV GETULIO VARGAS;1373;BERTO CIRIO;(51)4706212;92480000.0;RS;Nova Santa Rita;2016;5;-298.823.351;-512.520.217;Av. Getúlio Vargas, 1373, Nova Santa Rita - RS, 92480-000, Brazil
484;2360;18511;-2.536.993;-4.910.426;UNIDADE DE SAUDE JARDIM MENINO DEUS;RUA CARLOS SBRISSIA;167;JARDIM MENINO DEUS;(41)3671-8800;83420000.0;PR;Quatro Barras;2016;5;-253.698.281;-491.039.913;Rua Carlos Sbrissia, 167 - Jardim Menino Deus, Quatro Barras - PR, 83420-000, Brazil
492;2338;6903975;-282.940.220.832.817;-542.350.172.996.505;PSF 6 BAIRRO NOVA;TRAVESSA PERU;721;NOVA;;98807297.0;RS;Santo Ângelo;2016;5;-283.006.117;-542.673.083;Santo Ângelo, RS, Brazil
494;2247;6478204;-27.095.937.883.685.600;-486.173.993.861.423;UNIDADE DE SAUDE JARDIM PRAIA MAR;RUA 462;710;JARDIM PRAIA MAR;47 32671532;88220000.0;SC;Itapema;2016;5;-271.368.405;-486.165.817;R. 462, 710 - Jardim Praia Mar, Itapema - SC, 88220-000, Brazil
499;2317;2419408;-28.654.787.843.039.600;-492.132.565.084.377;ESF ANTONIO MAURICIO GOMES;RUA DOS EXPEDICIONARIOS;S/N;NASPOLINI;(48)434 5186;88830000.0;SC;Morro da Fumaça;2016;5;-286.477.757;-491.953.573;Naspolini, Morro da Fumaça - SC, 88830-000, Brazil
504;2183;2511592;-26.274.093.389.510.300;-48.872.380.256.651.400;UBSF COSTA E SILVA;COMANDANTE TELES DE MENDONCA;65;COSTA E SILVA;(47) 34250017;89218680.0;SC;Joinville;2016;5;-262.760.645;-488.725.412;R. Cmte. Telles de Mendonça, 65 - Costa e Silva, Joinville - SC, Brazil
527;2760;7892608;-26.084.248.957.443.600;-497.815.203.666.687;ESTRATEGIA DE SAUDE DA FAMILIA ANTONIO BOSSI;RUA PROFESSORA MIRTES FERREIRA;45;BOM JESUS;(47)3642-8352;83880000.0;PR;Rio Negro;2016;5;-26.083.927;-497.810.662;R. Profa. Mirtes Ferreira, 45, Rio Negro - PR, 83880-000, Brazil
540;2773;2377179;-27.395.778.698.688;-493.682.191.726.114;POSTO DE SAUDE DE VIDAL RAMOS;RUA AUGUSTO STOLTENBERG;26;CENTRO;(47)33561389;88443000.0;SC;Vidal Ramos;2016;5;-273.908.319;-493.604.531;R. Augusto Stoltenberg, 26, Vidal Ramos - SC, 88443-000, Brazil
547;2522;2302195;-268.069.410.324.089;-509.310.936.927.781;POSTO DE SAUDE CASTELHANO;ROD SC 302 KM 85;S/N;CASTELHANO;(49)35610949;89500993.0;SC;Caçador;2016;5;-26.783.141;-510.431.929;Rodovia SC 302 - Castelhano, Caçador - SC, 89500-000, Brazil
553;29302;2411261;-268.639.833.173.705;-52.154.105.650.118;UNIDADE SANITARIA DE VARGEAO;MAMANTE DANIELLI;122;CENTRO;(49)4340234;89690000.0;SC;Vargeão;2016;5;-268.617.756;-521.579.276;Rua Mamante Danielli, 122, Vargeão - SC, 89690-000, Brazil
557;2546;2378442;-267.689.379.013.243;-5.364.104.958.659.000;POSTO DE SAUDE DE BANDEIRANTE;AV SANTO ANTONIO;S/N;CENTRO;(49)6260365;89905000.0;SC;Bandeirante;2016;5;-267.703.669;-53.639.549;Av. Santo Antônio, Bandeirante - SC, 89905-000, Brazil
561;2430;6801889;-31.395;-52.676;POSTO DE SAUDE COLONIA PALMA;COLONIA PALMA;S/N;5 DISTRITO;;96600000.0;RS;Canguçu;2016;5;-312.634.559;-526.172.766;Rua Principal, 1, Canguçu - RS, 96600-000, Brazil
563;2424;2640309;-284.833;-4.902.617;UBS SAO JOAO I;RUA PAULO STEINHEUSER;S/N;SAO JOAO;(48) 3626-8474;88702706.0;SC;Tubarão;2016;5;-284.632.001;-490.345.336;R. Paulo Steinheuser, Tubarão - SC, Brazil
568;2791;2572214;-24.297.446.100.000.000;-533.125.196;C S DE FORMOSA DO OESTE;RUA MARANHAO;S/N;CENTRO;(44)3526-2933;85830000.0;PR;Formosa do Oeste;2016;5;-242.909.387;-533.115.361;R. Maranhão, Formosa do Oeste - PR, 85830-000, Brazil
569;2680;14494;-240.496.730.804.436;-523.984.336.853.012;UNIDADE DE SAUDE DR SADAYOSHI SHIMIZU;RUA LEMOS DO PRADO;195;DAMFERI;(44)3525-3008;87305515.0;PR;Campo Mourão;2016;5;-240.493.421;-5.240.738.529.999.990;R. Lemos do Prado, 195 - Jardim Lar Parana, Campo Mourão - PR, 87305-270, Brazil
589;2650;2262169;-28.315.297.365.187.800;-527.942.204.475.387;UNIDADE BASICA DE SAUDE RESIDENCIAL CANTARES CARAZINHO;RUA ARNILDO TAUCHERT;11;CANTARES;(54) 3331-1051;99500000.0;RS;Carazinho;2016;5;-28.320.975;-527.967.283;Rua Arnildo Tauchert, 11 - Aeroclube, Carazinho - RS, 99500-000, Brazil
597;2490;2246619;-28.208.824.396.132.600;-515.294.837.951.645;SECRETARIA MUNICIPAL DE SAUDE;AV AFONSO PENA;409;CENTRO;(54)3581125;95300000.0;RS;Lagoa Vermelha;2016;5;-282.101.606;-515.240.993;Av. Afonso Pena, 409 - Centro, Lagoa Vermelha - RS, 95300-000, Brazil
604;2576;7122454;-28.236.904.650.823.100;-53.760.792.016.983.000;UNIDADE DE SAUDE 03;RUA COMBATENTES DA RAMADA;S/N;JOAO CARLINI;55 33871240;98750000.0;RS;Ajuricaba;2016;5;-282.364.022;-5.376.246.760.000.000;R. Floriano Peixoto, 701 - João Carlini, Ajuricaba - RS, 98750-000, Brazil
610;2558;2579162;-23.301.519.155.501.500;-51.188.156.604.765.300;UBS ALVORADA;RUA POCOS DE CALDAS;85;JD ALVORADA;(43)33790858;86062350.0;PR;Londrina;2016;5;-233.014.365;-511.880.961;Av. Poços de Caldas, 85 - Amaro, Londrina - PR, 86062-350, Brazil
613;2638;7112688;-294.813.355.955.292;-525.089.192.390.442;UNIDADE BASICA DE SAUDE DE RIO PEQUENO;RIO PEQUENO;S/N;INTERIOR;;96890000.0;RS;Sinimbu;2016;5;-294.669.454;-5.249.387.979.999.990;Estr. Linha Rio Pequeno, Sinimbu - RS, 96890-000, Brazil
625;2438;17035;-25.434.165.000.914.800;-492.178.702.354.417;UMS IRACEMA;RUA NIVALDO BRAGA;S/N;CAPAO DA IMBUIA;(041)3266-2123;82900090.0;PR;Curitiba;2016;5;-254.363.978;-492.186.964;R. Prof. Nivaldo Braga - Capão da Imbuia, Curitiba - PR, 82590-300, Brazil
627;2485;2754592;-23.069.329.999.999.900;-52.447.880.000.000.000;NIS II ZONA LESTE;AVN TANCREDO NEVES;S/N;JD GUANABARA;(44)34237600;87704310.0;PR;Paranavaí;2016;5;-2.307.128;-524.494.816;Av. Pres. Tancredo Neves - Jardim Guanabara, Paranavaí - PR, Brazil
649;2683;7360983;-240.295.911.876.716;-51.995.624.899.864.200;UNIDADE BASICA DE SAUDE SANTA RITA;RUA PIAUI;1272;VILA ROQUE;44-3275-2211;86960000.0;PR;Barbosa Ferraz;2016;5;-24.031.462;-519.998.739;R. Piauí, 1272, Barbosa Ferraz - PR, 86960-000, Brazil
652;2666;2254735;-28.292.730.536.924.800;-535.002.651.674.452;ESTRATEGIA SAUDE DA FAMILIA PIRATINI;RUA COSTA E SILVA;1250;PIRATINI;5533769140 RAMAL 489;98280000.0;RS;Panambi;2016;5;-28.311.552;-535.036.772;R. Costa e Silva, 1250 - Piratini, Panambi - RS, 98280-000, Brazil
659;2420;3481220;-25.801.445.245.742.000;-48.543.133.735.655.200;POSTO DE SAUDE DO MANGUE SECO;RUA PATO BRANCO;1111;MANGUE SECO;(41)39716129;83260000.0;PR;Matinhos;2016;5;-258.013.883;-485.429.136;R. Pato Branco, s/n - Mangue Seco, Matinhos - PR, 83260-000, Brazil
662;2739;2229463;-29.641.081.094.741;-510.285.544.395.432;ESF OESTESAPIRANGA;RUA ALAGOAS;50;OESTE;(51)5991093;93804464.0;RS;Sapiranga;2016;5;-296.339.925;-510.250.607;R. Alagoas, 50 - Oeste, Sapiranga - RS, 93800-000, Brazil
663;2738;2658321;-27.175.375.089.490.300;-5.371.480.206.490.240;UNIDADE DE SAUDE FRONTEIRA;RUA DA MATRIZ;605;CENTRO;(49)99889098;89896000.0;SC;Itapiranga;2016;5;-271.682.404;-53.713.848;R. da Matriz, 605, Itapiranga - SC, 89896-000, Brazil
