index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det;lat_corrigida;long_corrigida;endereco_google
33;383;6406947;-660.051.865.435.005;-350.485.576.738.377;UBS III OLIMPIO ARNALDO DE ALENCAR;RUA FRANCISCO TAVARES DE MELO;S/N;CONJUNTO NOVO HORIZO;(83) 3297-1318;58292000.0;PB;Mataraca;2016;5;-6.589.874;-350.624.624;R. Francisco Taváres de Melo, Mataraca - PB, 58292-000, Brazil
34;246;2422131;-991.632.361.346.567;-37.318.512.084.961;UNIDADE DE SAUDE DA FAMILIA DO POVOADO MOCAMBO;POVOADO MOCAMBO;S/N;ZONA RURAL;;49800000.0;SE;Porto da Folha;2016;5;-97.791.218;-374.050.608;Quilombo Mocambo, Porto da Folha - SE, 49800-000, Brazil
36;25;4021827;-11.139.235.496.520.600;-391.681.909.561.146;UNIDADE DE SAUDE DA FAMILIA PEDRA ALTA;POVOADO PEDRA ALTA;S/N;ZONA RURAL;;48760000.0;BA;Araci;2016;5;-111.379.749;-391.684.726;Pedra Alta, Araci - BA, 48760-000, Brazil
38;116;2656019;-29.298.305.511.473.700;-45.058.665.275.572.300;UBS DE SAO FRANCISCO;POVOADO DE SAO FRANCISCO;S/N;SAO FRANCISCO;(98)359 2162;65223000.0;MA;Olinda Nova do Maranhão;2016;5;-6.149.862.499.999.990;-431.475.462;São Francisco do Maranhão - State of Maranhão, 65650-000, Brazil
40;158;2008297;-933.136.224.746.677;-378.054.785.728.444;POSTO DE SAUDE ALTO DA BOA VISTA;POVOADO ALTO DA BOA VISTA;S/N;ZONA RURAL;;57470000.0;AL;Olho d'Água do Casado;2016;5;-9.503.997.499.999.990;-37.830.415;Olho d'Água do Casado, AL, 57470-000, Brazil
41;165;2350521;-791.799.902.915.932;-354.973.196.983.327;UNIDADE DE SAUDE DA FAMILIA MANOEL DE AQUINO ALBUQUERQUE;SITIO RIBEIRO DO MEL;S/N;ZONA RURAL;(81)36289711;55700000.0;PE;Limoeiro;2016;5;-7.877.335;-354.450.996;Limoeiro - State of Pernambuco, Brazil
46;178;2346370;-8.020.521.767.497.590;-349.957.213.563.856;PSF NOEMIA DE CASTRO USF ARACA;EST DE ALDEIA KM 12;S/N;ARACA;(81)34593207;54783380.0;PE;Camaragibe;2016;5;-7.965.611.600.000.000;-350.069.715;Av. Araçá, 12 - Aldeia dos Camarás, Camaragibe - PE, 54786-500, Brazil
50;186;5888190;-11.552.770.722.407.500;-419.751.521.500.745;UBSF BENILTON SOARES DOS SANTOS;LAGOA DA PEDRA;S/N;CENTRO;;44960000.0;BA;Ibititá;2016;5;-13.966.667;-41.85;Lagoa da Pedra, Livramento de Nossa Sra. - BA, 46140-000, Brazil
53;77;965;-810.176;-34.929.990.000.000.000;US 177 PSF CHICO MENDES;RUA DO CAMPO;29;AREIAS;(81) 32322538;50875250.0;PE;Recife;2016;5;-81.034.728;-349.326.234;R. do Campo, 29 - COHAB, Recife - PE, 51330-440, Brazil
55;204;5116465;-722.149.704;-358.838.591.147.815;UBS ANTONIO MESQUITA DE ALMEIDA;RUA PROFESSOR HORTENCIO RIBEIRO;478;MONTE CASTELO;(83)33106098;58407030.0;PB;Campina Grande;2016;5;-7.218.176.299.999.990;-358.652.764;R. Hortêncio Ribeiro, 478 - Monte Castelo, Campina Grande - PB, 58407-015, Brazil
56;399;2353962;-864.925.486.457.646;-359.071.210.443.245;U S F JOSEFA NUNES DA SILVA;RUA DO ENTROCAMENTO;S/N;ENTROCAMENTO;;55450000.0;PE;Lagoa dos Gatos;2016;5;-8.621.664.599.999.990;-358.767.248;Entroncamento, Lagoa dos Gatos - PE, 55450-000, Brazil
61;84;4026470;-141.258.430.480.953;-39.740.037.918.089.700;UNIDADE DE SAUDE DA FAMILIA DR NESTOR MESQUITA MARTINS;RUA ROCHAEL MEDRADO;S/N;EUCLIDES NETO;(73)35317192;45570000.0;BA;Ipiaú;2016;5;-141.253.687;-397.406.356;R. Rochael Medrado, Ipiaú - BA, 45570-000, Brazil
62;125;5932416;-7.243.694.099.999.990;-359.002.248;UBS ROMUALDO BRITO DE FIGUEIREDO;PRACA FLORINDO DA SILVA COLACO;S/N;JARDIM PAULISTANO;(83)33311703/3331946;58415247.0;PB;Campina Grande;2016;5;-72.495.934;-358.958.646;Praça Florinda da Silva Colaço - Jardim Paulistano, Campina Grande - PB, Brazil
65;193;2369788;-75.407.087.802.884.800;-412.525.677.680.957;PS ADAO BARBOSA ESF;POVOADO VARZEA QUEIMADA;S/N;ZONA RURAL;(86)34571858;64575000.0;PI;Jaicós;2016;5;-7.540.140.099.999.990;-412.522.158;Várzea Queimada, Jaicós - PI, 64575-000, Brazil
69;397;2499290;-64.030.312.519.304.000;-3.886.308.517.887.970;ESF CASCUDO;SITIO CASCUDO;S/N;SITIO CASCUDO;;63430000.0;CE;Icó;2016;5;-64.026.236;-388.591.633;Icó, State of Ceará, 63430-000, Brazil
70;293;2643987;-5.673.226.118.087.590;-430.931.210.517.871;UNIDADE DE SAUDE DA FAMILIA LAURO BARBOSA RIBEIRO;AVN JOAO PEREIRA DE FARIAS;S/N;REDENCAO;;65640000.0;MA;Parnarama;2016;5;-5.661.876.400.000.000;-430.891.218;Av. João Pereira de Farias, Parnarama - MA, 65640-000, Brazil
72;335;2465582;-326.030.015.945.425;-45.647.399.425.505.200;POSTO DE SAUDE DO BAIRRO SAO FRANCISCO;RUA DAS CAJAZEIRAS;S/N;SO FRANCISCO;(98)6553310;65365000.0;MA;Zé Doca;2016;5;-32.610.436;-4.564.796.279.999.990;R. das Cajazeiras, Zé Doca - MA, 65365-000, Brazil
73;377;2605015;-773.924;-3.799.536;UBS PSF MAIA;RUA ALFRADEDO CARLOS;S/N;MAIA;;58755000.0;PB;Princesa Isabel;2016;5;-7.742.008.599.999.990;-379.947.974;R. Alfredo Carlos da Costa, s/n - Maia, Princesa Isabel - PB, 58755-000, Brazil
76;263;2407442;-583.793.607.342.512;-379.882.686.256.902;UNIDADE BASICA DE SAUDE MAE ARLINDA;PRACA DA SAUDADE;20;N S DAS DORES;(84)3712222;59855000.0;RN;Itaú;2016;5;-58.412.939;-379.890.624;Itaú - State of Rio Grande do Norte, Brazil
77;104;6459951;-417.054.051;-384.670.222.648.935;UNIDADE BASICA DE SAUDE DA FAMILIA DO TUCUM;ESTRADA PRINCIPAL;S/N;TUCUM;8533483487;62870000.0;CE;Pacajus;2016;5;-41.731.846;-38.460.945;Pacajús, State of Ceará, 62870-000, Brazil
80;17;7546238;-676.836;-3.625.203;UBS TECNICA DE ENFERMAGEM IZAURA FLORENTINA DA COSTA;ASSENTAMENTO SAO LUIZ;S/N;CENTRO;8336431036;58177000.0;PB;Sossêgo;2016;5;-67.668.249;-362.463.194;Sossêgo, PB, 58177-000, Brazil
83;99;2714280;-837.843;-3.544.951;PSF XV DE NOVEMBRO;RUA 15 DE NOVEMBRO;1;CENTRO;;55515000.0;PE;Amaraji;2016;5;-8.378.787.599.999.990;-354.521.621;R. Quinze de Novembro, 1 - Centro, Amaraji - PE, 55515-000, Brazil
84;48;2656108;-37.195.158.004.759.600;-450.916.028.022.753;UMIDADE BASICA DE SAUDE DE LAJE COMPRIDA;LAJE COMPRIDA;S/N;ZONA RURAL;(98)3761104;65345000.0;MA;Igarapé do Meio;2016;5;-36.580.899;-452.117.714;Igarapé do Meio, MA, 65345-000, Brazil
85;170;2429632;-896.628.141.403.172;-407.193.017.005.909;UBS JOSEFA COELHO;POVOADO DE PAU FERRO;S/N;CENTRO;;56304020.0;PE;Petrolina;2016;5;-93.884.121;-405.155.506;R. do Pau Ferro - Gercino Coelho, Petrolina - PE, 56306-100, Brazil
86;333;2349051;-7.943.188;-348.847.916.197.368;USF MARANGUAPE II B;RUA 79;118;MARANGUAPE II;(81)34372849;53401441.0;PE;Paulista;2016;5;-79.272.213;-348.516.599;Maranguape II, Paulista - PE, Brazil
97;255;7885024;-126.191.964;-38.292.994.799.999.900;UNIDADE DE SAUDE DA FAMILIA DO IMBASSAY;RUA ALMIRANTE TAMANDARE;S/N;CIDADE MIRIM;;42850000.0;BA;Dias d'Ávila;2016;5;-126.146.002;-3.831.994.419.999.990;R. Alm. Tamandaré - Santa Terezinha, Dias d'Ávila - BA, 42850-000, Brazil
98;227;2388561;-12.355.186.558.850.600;-3.837.629.430.355.400;UNIDADE DE SAUDE DA FAMILIA DE PAU LAVRADO;RUA DO CRUZEIRO;S/N;DIST DE PAU LAVRADO;(71)36412185;48110000.0;BA;Catu;2016;5;-12.308.268;-383.711.451;BR-110, 441, Catu - BA, 48110-000, Brazil
100;271;7156111;-12.693.137.473.015.400;-391.398.024.559.021;USF MODESTA BARBOSA;POVOADO DA EMBIRA;S/N;ZONA RURAL;36218200;44380000.0;BA;Cruz das Almas;2016;5;-12.65;-39.15;Embira, Cruz das Almas - BA, 44380-000, Brazil
103;391;3861937;-81.310.951.709.745;-349.648.261.070.241;USF MARIA DE SOUZA RAMOS UR6;RUA MANOEL BOTELHO DE OLIVEIRA;S/N;ZUMBI DO PACHECO;81 3475-5240;54100020.0;PE;Jaboatão dos Guararapes;2016;5;-8.131.095;-34.964.306;Rua Manoel Botelho de Oliveira, 40 - Zumbi do Pacheco, Jaboatão dos Guararapes - PE, 54230-285, Brazil
106;239;2381141;-640.375.656.574.908;-383.234.550.212.287;CENTRO DE SAUDE DE MAJOR SALES;RUA ANTONIO JOSE DA ROCHA;S/N;CENTRO;( );59945000.0;RN;Major Sales;2016;5;-6.405.236.599.999.990;-383.222.095;R. Antonio Jose da Rocha, Maj. Sales - RN, 59945-000, Brazil
107;42;2644320;-204.474.449.157.709;-45.958.364.009.855.700;CENTRO DE SAUDE DE MARACACUME 2;FERNAO DIAS;S/N;BOA VISTA;(98)3731555;65289000.0;MA;Maracaçumé;2016;5;-37.395.042;-452.534.785;Bela Vista do Maranhão - State of Maranhão, Brazil
108;166;2510596;-164.127.159.118.648;-391.599.082.946.766;USF IMBIRUCU DE DENTRO;KM 15 BR 367 SENTIDO PORTO SEGURO EUNAPOLIS;S/N;IMBIRUCU DE DENTRO;(73) 3274 1119;45810000.0;BA;Porto Seguro;2016;5;-164.402.462;-3.906.229.039.999.990;BR-367, 15, Porto Seguro - BA, 45810-000, Brazil
110;336;7177658;-10.501.618.337.611.000;-4.031.882.025.814.060;UNIDADE BASICA DE SAUDE DA FAMILIA DO SAO FRANCISCO;RUA BELA VISTA;230;SAO FRANCISCO;;44790000.0;BA;Campo Formoso;2016;5;-105.009.723;-403.162.392;R. Bela Vista, 230, Campo Formoso - BA, 44790-000, Brazil
113;59;2626853;-11.776.660.000.000.000;-3.780.574;UNIDADE DE SAUDE DA FAMILIA DE ALTAMIRA;PRACA EDUARDO CAVALCANTE LINS;S/N;ALTAMIRA;(75)429 1214;48300000.0;BA;Conde;2016;5;-118.557.382;-375.699.045;Conde - State of Bahia, 48300-000, Brazil
117;151;2327589;-405.194.878.578.174;-408.630.251.884.449;CENTRO DE NUTRICAO DE SAO BENEDITO;RUA JOSE INACIO DE AGUIAR;S/N;FATIMA;6262299;62370000.0;CE;São Benedito;2016;5;-40.595.018;-4.085.615;Rod. Paulo Banhos, São Benedito - CE, Brazil
119;294;2462141;-144.493.818.283.077;-45.426.428.318.022.300;UNIDADE BASICA SAUDE DE SANTA BARBARA;POVOADO SANTA BARBARA;S/N;POVOADO STA BARBARA;(98)3971115;65278000.0;MA;Turiaçu;2016;5;344.208.305;-1.196.981.901;Santa Barbara, CA, USA
120;45;2404575;-949.344.824.144.475;-445.812.141.605.608;PS DE ESTREITO;ESTREITO;S/N;ZONA RURAL;;64915000.0;PI;Redenção do Gurguéia;2016;5;-9.487.704.299.999.990;-445.817.159;Redenção do Gurguéia, PI, 64915-000, Brazil
122;37;2636123;-772.437.221.003.539;-353.295.704.142.006;PSF LAGOA DO OUTEIRO;POVOADO DE LAGOA DO OUTEIRO;S/N;ZONA RURAL;(81)36591013;55845000.0;PE;Buenos Aires;2016;5;-77.585.308;-353.857.065;Lagoa do Outeiro, Buenos Aires - PE, 55845-000, Brazil
124;194;2682680;-7.520.034.313.201.690;-36.813.662.052.153.500;UBSF 04 JULIA DE LIMA OLIVEIRA;SITIO JERICO;S/N;ZONA RURAL;(83)33542856;58580000.0;PB;Serra Branca;2016;5;-75.141.573;-368.102.097;Serra Branca - State of Paraíba, 58580-000, Brazil
125;29;2424118;-368.803.768.376.442;-4.034.866.803.365.820;CSF PEDRINHAS;RUA BENJAMIM;62;PEDRINHAS;(88) 3611 5032;62040830.0;CE;Sobral;2016;5;-36.875.853;-403.407.531;R. do Benjamin, 62 - Bairro Pedrinhas, Sobral - CE, 62040-830, Brazil
126;272;6877702;-101.332.569.122.312;-439.419.221.878.039;UNIDADE BASICA DESAUDE SAO JOAO I;POVOADO SAO JOAO;S/N;ZONA RURAL;8935751411;64965000.0;PI;Avelino Lopes;2016;5;-101.349.912;-439.482.679;Avelino Lopes - State of Piauí, Brazil
131;60;5627087;-72.477.062.339.896.900;-353.706.550.598.145;CENTRO DE SAUDE PROF MARIA DOLORES DE ARAUJO RAMOS;AVENIDA JOAO CRISOSTOMO;S/N;CENTRO;(083)3682-1084;58339000.0;PB;São José dos Ramos;2016;5;-72.475.756;-353.758.996;R. Dr. João Crisóstomo Ribeiro Coutinho, São José dos Ramos - PB, 58339-000, Brazil
133;133;2653303;-114.849.354.254.302;-379.335.777.751.436;UNIDADE DE SAUDE DA FAMILIA OTTO ALENCAR;LOTEAMENTO RAIMUNDO GUIMARAES;1;RGN;;48330000.0;BA;Rio Real;2016;5;-114.818.089;-379.335.881;Rio Real, State of Bahia, 48330-000, Brazil
135;7;2644916;-146.698.506.432.339;-40.471.276.491.880.300;USF DO GERIBA;POVOADO DO GERIBA;1;POVOADO;;45190000.0;BA;Planalto;2016;5;-146.945.473;-403.605.305;BA-643, Planalto - BA, 45260-000, Brazil
136;103;2005557;-953.947.334.534.262;-357.661.628.723.145;CENTRO DE SAUDE TEREZA BARBOSA 7 DS;COJ EUSTAQUIO GOMES;S/N;CIDADE UNIVERSITARIA;(82) 3315 5476;57072452.0;AL;Maceió;2016;5;-95.418.305;-357.832.275;Terminal Rodoviário do Eustáquio Gomes - R. Oito A, 190 - Cidade Universitária, Maceió - AL, 57072-760, Brazil
139;256;2452847;-39.455.715;-429.251.061.777.803;UBSF DE BAIXAO DO CEDRO;POVOADO BAIXAO DO CEDRO;S/N;POVOADO;-98;65515000.0;MA;Buriti;2016;5;-3.942.071;-429.183.171;Buriti, MA, 65515-000, Brazil
141;65;2415046;-723.175.278.993.044;-394.083.902.977.886;POSTO DE SAUDE VILA PADRE CICERO;VILA PADRE CICERO;S/N;DISTRITO BELA VISTA;(88)5233376;63100970.0;CE;Crato;2016;5;-7.179.940.500.000.000;-393.858.469;R. Padre Cícero - Bela Vista, Crato - CE, Brazil
142;72;2526;-1.089.602;-3.706.284;US FRANCISCO FONSECA DEZOITO DO FORTE;AV ALVARO MARCIEL;296;18 DO FORTE;(79)3179-2434;49060020.0;SE;Aracaju;2016;5;-108.954.437;-370.624.673;Av. Álvaro Maciel, 296 - Palestina, Aracaju - SE, 49060-020, Brazil
143;297;7632320;-895.847;-3.762.378;PSF MANOEL CLARINDO DO NASCIMENTO;SITIO ESTIVAS;S/N;RURAL;;56565000.0;PE;Manari;2016;5;-8.965.321.699.999.990;-376.316.378;Manari, Pernambuco, Manari - State of Pernambuco, 56565-000, Brazil
146;469;2514419;-12.772.851.771.232;-39.521.140.056.174.300;USF DO RIO SECO;POVOADO DO RIO SECO;S/N;ZONA RURAL;;44590000.0;BA;Santa Teresinha;2016;5;-12.65;-39.6;Rio Sêco, Santa Teresinha - BA, 44590-000, Brazil
155;767;6742807;-12.969.014.951.184.400;-39.398.487.927.817.900;UNIDADE SAUDE DA FAMILIA SOL POSTO;EUJACIO SILVA ALMEIDA;21;CENTRO;;44565000.0;BA;Varzedo;2016;5;-12.966.967;-393.891.625;R. Eujácio Almeida, Varzedo - BA, 44565-000, Brazil
159;546;8013608;-28.993.234;-448.761.898;U B S S FRANCISCO DE HONORIO PSF;POVOADO DE PALMEIRALZINHO;S/N;ZONA RURAL;;65220000.0;MA;São Vicente Ferrer;2016;5;-28.952.626;-448.805.522;São Vicente Ferrer - State of Maranhão, 65220-000, Brazil
160;549;2487217;-12.164.190.480.912.700;-386.029.123.666.286;UNIDADE DE SAUDE DA FAMILIA SAO JOSE OPERARIO PIRINEL;AVENIDA SILVA;S/N;SANTA TEREZINHA;;48010110.0;BA;Alagoinhas;2016;5;-12.126.375;-384.178.451;Av. Silva - Santa Terezinha, Alagoinhas - BA, 48011-250, Brazil
161;742;2008009;-9.529.950.785.749.760;-360.630.512.237.549;UNIDADE SAUDE DA FAMILIA SAPUCAIA;POVOADO SAPUCAIA;22;CENTRO;;57690000.0;AL;Atalaia;2016;5;-95.305.004;-360.593.473;Sapucaia, Atalaia - AL, 57690-000, Brazil
163;603;2563878;-483.955.516.829.761;-377.823.914.809.586;UBASF PADRE RAIMUNDO SALES FACANHA;DISTRITO BORGES;S/N;ZONA RURAL;(88)4181619;62823000.0;CE;Jaguaruana;2016;5;-49.003.859;-378.764.301;Borges, Jaguaruana - CE, 62823-000, Brazil
164;500;2004119;-9.387.302.398.681.360;-371.394.968.032.826;UNIDADE DE SAUDE DA FAMILIA DE AREIAS;POVOADO AREIAS BRANCAS;1;ZONA RURAL;;57500000.0;AL;Santana do Ipanema;2016;5;-9.372.088.999.999.990;-372.431.561;Povoado Areia Branca, s/n Zona Rural, Santana do Ipanema - AL, 57500-000, Brazil
165;456;6812163;-45.659.565.925.596.700;-451.930.332.183.825;UNIDADE BASICA DE SAUDE DO POVOADO UMBACA;POVOAO UMBACA;S/N;ZONA RURAL;;65715000.0;MA;Lago da Pedra;2016;5;-45.701.256;-451.323.113;Lago da Pedra, MA, 65715-000, Brazil
167;545;5475929;-13.855.664.007.664.000;-40.088.607.327.476.200;USF DR JOSE MAXIMILIANO HENRIQUEZ SANDOVAL;RUA M;1;JEQUIEZINHO;(73)3527-2037;45208775.0;BA;Jequié;2016;5;-138.814.101;-400.631.151;R. M, 01 - Jequiezinho, Jequié - BA, Brazil
171;420;6629040;-38.535.726.070.402.900;-455.351.972.579.943;UBS DE AGUA BELA;POVOADO AGUA BELA;S/N;POVOADO AGUA BELA;;65378000.0;MA;Tufilândia;2016;5;-38.526.641;-455.338.351;Água Bela, Tufilândia - MA, 65300-000, Brazil
175;678;4026985;-125.270.962.715.145;-403.007.268.905.628;UNIDADE DE SAUDE DA FAMILIA DO CAITITU;BAIRRO DO CAITITU;S/N;CAITITU;(75) 3251 - 6899;46880000.0;BA;Itaberaba;2016;5;-12.7;-41.766.667;Caititu, Boninal - BA, 46740-000, Brazil
176;644;4013247;-612.668.180.536.754;-35.440.837.740.898.100;UBS PARELHAS;SITIO PARELHAS;S/N;ZONA RURAL;;59247000.0;RN;Lagoa Salgada;2016;5;-66.858.425;-366.602.483;Parelhas, State of Rio Grande do Norte, 59360-000, Brazil
179;428;2720736;-9.931.610.389.742.440;-364.715.218.222.232;UNIDADE BASICA DE SAUDE DA FAMILIA INGA;POVOADO INGA;S/N;CENTRO;(82)541 1218;57270000.0;AL;Junqueiro;2016;5;-99.073.899;-364.806.764;Junqueiro, State of Alagoas, 57270-000, Brazil
181;582;28096;-806.276.248.305.241;-348.889.419.445.777;US 274 PSF TIA REGINA;RUA CORREGO DO DEODATO;315;AGUA FRIA;(81) 33554708;52211250.0;PE;Recife;2016;5;-8.013.883;-34.900.112;R. Córrego do Deodato, 315 - Água Fria, Recife - PE, 52211-250, Brazil
189;423;2720280;-9.925;-36.476;POSTO DE SAUDE BARRO VERMELHO;POVOADO BARRO VERMELHO;S/N;ZONA RURAL;(82)541 1218;57270000.0;AL;Junqueiro;2016;5;-9.840.655.199.999.990;-363.853.342;Barro Vermelho, Junqueiro - AL, 57270-000, Brazil
191;797;2771349;-15.411.468.744.277.500;-394.933.176.040.638;USF ANTONIO MENEZES;RUA DOS CIGANOS;30;CIDADE ALTA;;45880000.0;BA;Camacan;2016;5;-154.201.038;-3.949.640.369.999.990;Camacan, State of Bahia, 45880-000, Brazil
192;659;2304864;-175.189.333.438.062;-391.942.143.206.578;PSF CANTA GALO;AVENIDA PRINCIPAL;S/N;CANTA GALO;(73) 2932620;45910000.0;BA;Alcobaça;2016;5;-174.549.458;-394.035.876;Alcobaça - State of Bahia, Brazil
193;717;2386410;-14.364.817.142.486.200;-402.063.345.909.107;CENTRO DE SAUDE NOSSA SENHORA DA BOA NOVA;RUA REGES PACHECO;1;CENTRO;(77)34332218;45250000.0;BA;Boa Nova;2016;5;-14.364.184;-402.058.849;R. Régis Pachêco, 1, Boa Nova - BA, 45250-000, Brazil
198;569;3006875;-71.510.267.257.688.400;-348.998.522.758.437;UNIDADE DO PSF BAIRRO DOS NOVAIS I;CORONEL ADOLFO MASSA;S/N;NOVAIS;(83)32189188;58088620.0;PB;João Pessoa;2016;5;-7.151.423.599.999.990;-348.983.246;Av. Cel. Adolfo Massa - Oitizeiro, João Pessoa - PB, Brazil
202;593;2722348;-9.354;-37.507;UNIDADE MISTA DA FAMILIA MONSENHOR MOISES V DOS ANJOS;POVOADO CANDUNDA;S/N;POV CANDUNDA;;57515000.0;AL;Senador Rui Palmeira;2016;5;-94.102.839;-375.327.123;Senador Rui Palmeira - State of Alagoas, 57515-000, Brazil
